GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-2),Winner(PlayerIdx)
-236564248,SushiGo,3,GAME_OVER,84,0,3,211,randomPlayer,47.0,37.0,63.0,Basic MCTS,GroupAA MCTS Agent,2,randomPlayer,2,3,3,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
1446486608,SushiGo,3,GAME_OVER,85,0,3,212,GroupAA MCTS Agent,28.0,47.0,26.0,randomPlayer,Basic MCTS,2,GroupAA MCTS Agent,2,1,1,3,randomPlayer,3,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
-708727847,SushiGo,3,GAME_OVER,85,0,3,213,Basic MCTS,24.0,39.0,51.0,randomPlayer,GroupAA MCTS Agent,3,Basic MCTS,3,2,2,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
126679867,SushiGo,3,GAME_OVER,82,0,3,214,Basic MCTS,51.0,29.0,24.0,GroupAA MCTS Agent,randomPlayer,1,Basic MCTS,1,2,2,3,GroupAA MCTS Agent,3,randomPlayer,GroupAA MCTS Agent,Basic MCTS,randomPlayer,1
12187170,SushiGo,3,GAME_OVER,81,0,3,215,Basic MCTS,29.0,35.0,55.0,randomPlayer,GroupAA MCTS Agent,3,Basic MCTS,3,2,2,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
-918417469,SushiGo,3,GAME_OVER,82,0,3,216,randomPlayer,33.0,28.0,50.0,Basic MCTS,GroupAA MCTS Agent,2,randomPlayer,2,3,3,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
-2014151930,SushiGo,3,GAME_OVER,82,0,3,217,randomPlayer,36.0,32.0,52.0,Basic MCTS,GroupAA MCTS Agent,2,randomPlayer,2,3,3,1,Basic MCTS,1,GroupAA MCTS Agent,Basic MCTS,randomPlayer,GroupAA MCTS Agent,2
127226354,SushiGo,3,GAME_OVER,81,0,3,218,Basic MCTS,29.0,38.0,49.0,randomPlayer,GroupAA MCTS Agent,3,Basic MCTS,3,2,2,1,randomPlayer,1,GroupAA MCTS Agent,randomPlayer,Basic MCTS,GroupAA MCTS Agent,2
-1842839491,SushiGo,3,GAME_OVER,82,0,3,219,GroupAA MCTS Agent,27.0,49.0,33.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
1475141105,SushiGo,3,GAME_OVER,83,0,3,220,GroupAA MCTS Agent,39.0,56.0,41.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
1853943462,SushiGo,3,GAME_OVER,82,0,3,221,GroupAA MCTS Agent,30.0,55.0,26.0,randomPlayer,Basic MCTS,2,GroupAA MCTS Agent,2,1,1,3,randomPlayer,3,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
-914735830,SushiGo,3,GAME_OVER,86,0,3,222,randomPlayer,52.0,24.0,39.0,GroupAA MCTS Agent,Basic MCTS,1,randomPlayer,1,3,3,2,GroupAA MCTS Agent,2,Basic MCTS,GroupAA MCTS Agent,randomPlayer,Basic MCTS,1
-1291471089,SushiGo,3,GAME_OVER,84,0,3,223,Basic MCTS,53.0,28.0,33.0,GroupAA MCTS Agent,randomPlayer,1,Basic MCTS,1,3,3,2,GroupAA MCTS Agent,2,randomPlayer,GroupAA MCTS Agent,Basic MCTS,randomPlayer,1
10545401,SushiGo,3,GAME_OVER,84,0,3,224,GroupAA MCTS Agent,29.0,53.0,34.0,randomPlayer,Basic MCTS,3,GroupAA MCTS Agent,3,1,1,2,randomPlayer,2,Basic MCTS,randomPlayer,GroupAA MCTS Agent,Basic MCTS,0
141548111,SushiGo,3,GAME_OVER,81,0,3,225,randomPlayer,45.0,24.0,44.0,GroupAA MCTS Agent,Basic MCTS,1,randomPlayer,1,3,3,2,GroupAA MCTS Agent,2,Basic MCTS,GroupAA MCTS Agent,randomPlayer,Basic MCTS,1
1058584205,SushiGo,3,GAME_OVER,84,0,3,226,GroupAA MCTS Agent,41.0,51.0,28.0,Basic MCTS,randomPlayer,2,GroupAA MCTS Agent,2,1,1,3,Basic MCTS,3,randomPlayer,Basic MCTS,GroupAA MCTS Agent,randomPlayer,0
211927356,SushiGo,3,GAME_OVER,82,0,3,227,GroupAA MCTS Agent,35.0,52.0,25.0,Basic MCTS,randomPlayer,2,GroupAA MCTS Agent,2,1,1,3,Basic MCTS,3,randomPlayer,Basic MCTS,GroupAA MCTS Agent,randomPlayer,0
